title,bvid,link,up,play,bulletchat,reply,like,coin,favorite,share,labels,length
这场【全球审美大降级】属实给我整混乱了……,BV1fc41167r3,https://b23.tv/BV1fc41167r3,塑料叉FOKU,6181948,11780,6251,325088,54996,90285,15109,"['时尚', '仿妆cos', '美妆', '时尚', '颜值', '复古', '吐槽', '塑料叉', '分享', '审美', '影视', '变美']",428
朋友你们帮我看看问题到底出现在哪里？,BV1ju4y1j7jk,https://b23.tv/BV1ju4y1j7jk,口技小青年,5986407,11353,8006,416601,95080,86491,101811,"['给小动物注入灵魂', '动物圈', '汪星人', '汪星人', '动物观察局24.0 小动物变装派对！']",269
【硬件科普】从零开始认识主板,BV1xQ4y1b7JS,https://b23.tv/BV1xQ4y1b7JS,硬件茶谈,2161584,3010,2516,199113,130923,157904,11164,"['B站装机助手', '科技', '数码', '显卡', '电脑', 'DIY', '科普', '科技', '主板', '硬件', '微星', '电脑装机']",816
满足了甲方奇怪的癖好,BV1BC4y1j7dr,https://b23.tv/BV1BC4y1j7dr,逗比的雀巢,7434624,3592,3425,505737,73744,49763,12434,"['外星降临活着就行', '影视', '小剧场', '职场', '搞笑', '生活', '搞笑视频', '娱乐', '科技', '高能', '星球重启', '甲方', '“外星降临活着就行”星球重启创作激励计划']",180
从「孤苦少年」到「一代天子」！他凭什么？《史记》原文全解读【故事】03,BV12H4y1q7bx,https://b23.tv/BV12H4y1q7bx,木鱼水心,1778976,7176,2317,199453,146977,61680,3945,"['知识', '人文历史', '历史', '影视杂谈', '学习', '木鱼水心', '故事HISTORY', '司马迁', '史记', '舜', '禅让', '二十四史']",2168
章~鱼~哥~来~咯~,BV1Hw411K7Fx,https://b23.tv/BV1Hw411K7Fx,老番茄,3538235,11420,3422,276401,125118,79978,10647,"['整点电子榨菜', '游戏', '单机游戏', '章鱼哥', '派大星', '搞笑', '某行', '花少北', '老番茄', '海绵宝宝', '沙雕', '中国boy', '整点电子榨菜第七期']",602
当北方人第一次在南方过冬,BV1Gj411J76q,https://b23.tv/BV1Gj411J76q,粤知一二,5399887,8055,5379,386797,7395,27703,5328,"['搞笑新星训练营', '生活', '搞笑', '脱口秀', '搞笑', '广东', '栋笃笑', '郭嘉峰', '段子', '粤知一二', '搞笑研究所2023 7.0 万圣节来搞怪']",317
《绝区零》比利角色展示 | 骑士登场！,BV1tN4y1m7d5,https://b23.tv/BV1tN4y1m7d5,绝区零,3167341,6214,8702,337492,67732,56864,37683,"['游戏', '手机游戏', '手机游戏', '比利', '游戏', 'PC', '新游', '动作游戏', '米哈游', '降噪测试', '绝区零', '绝区零比利']",178
《原神》过场动画-「罪人的终幕」,BV1vu4y1b7Y9,https://b23.tv/BV1vu4y1b7Y9,原神,2658454,11303,10732,266543,178028,98483,24511,"['游戏', '手机游戏', '原神', '原神枫丹', '芙宁娜', '米哈游', 'miHoYo']",191
探秘中国国宴！开国第一宴！10道国宴菜！都吃什么？,BV1Dz4y1N7XT,https://b23.tv/BV1Dz4y1N7XT,HOLA小测佬,4868709,11333,3329,371810,79300,46886,9942,"['初冬时节·美食治愈季', '美食', '美食侦探', '试吃', '4K', '探店', '吃货', '开箱', '美食', '测评', '北京', '国宴']",502
第一次去拍网红写真 没想到要穿露背装 当场崩溃,BV1Rj411j7Fq,https://b23.tv/BV1Rj411j7Fq,假美食po主,2424946,9810,2921,113336,41749,13921,4874,"['今天也在好好生活', '生活', '日常', '上海', '穿搭', '摄影', '搞笑', '写真', '生活记录', '拍照', '记录', 'Vlog', '生活万花筒8.0 看见生活B面']",656
这十六分钟真的能讲完你那波澜壮阔的十年吗,BV12a4y1S7GR,https://b23.tv/BV12a4y1S7GR,一张照片LOL,3405270,9345,12319,227449,217573,100775,52358,"['やわらかな光 (YAWARAKANA HIKARI)', '英雄联盟S13', '游戏', '电子竞技', '英雄联盟', '电子竞技', 'Faker']",962
"""Cheems，你枪里装的是珍珠软糖吗？""",BV1dw411N7VG,https://b23.tv/BV1dw411N7VG,一大筐会飞的草莓,2038702,1396,1129,190294,31997,41511,7697,"['August', '一起来捣蛋噢', '鬼畜', '鬼畜剧场', '鬼畜剧场', '鬼畜', '搞笑', 'Cheems', '把益禾堂整疯', '郝哥']",92
3兄弟体验上海东北饺子馆菜量，被coco笑话冻死…,BV1CH4y127gA,https://b23.tv/BV1CH4y127gA,盗月社食遇记,2329447,6612,3743,138501,81906,17810,6479,"['初冬时节·美食治愈季', '美食', '美食侦探', '饺子', '火锅', '生活记录', '东北', '兄弟', '东北饺子', '东北酸菜']",820
红魔9Pro上手体验：教科书级游戏性能,BV14M411f7R7,https://b23.tv/BV14M411f7R7,极客湾Geekerwan,1744643,9013,7829,89355,13705,8091,13568,"['Uptown Getdown', '科技', '数码', '游戏手机', '红魔', '红魔9pro']",733
小伙用高智能AI生成的魔仙李云龙,BV11Q4y1t7mG,https://b23.tv/BV11Q4y1t7mG,主观哥哥,1207285,963,715,84071,6570,16952,9444,"['一起来捣蛋噢', '鬼畜', '鬼畜剧场', '巴啦啦小魔仙', '蔡徐坤', '社会摇', '游乐王子', '完颜慧德', '把益禾堂整疯', '玲珑', '三年动画', '华强买瓜']",108
《无期迷途》全新主线章节——「弱者」,BV1Wg4y1X7oi,https://b23.tv/BV1Wg4y1X7oi,无期迷途,1652873,1491,4085,50984,26472,11013,10699,"['游戏', '手机游戏', '主线', '无期迷途', '禁闭者', 'MBCC', '弱者']",138
百炼成金，四冠登神！Faker无需向众神祈祷，因为众神传颂的都是你的名号！LOL史上第一人再登巅峰！,BV18N4y1S7vP,https://b23.tv/BV18N4y1S7vP,裴一言,1644794,2238,4636,71357,46098,27549,5934,"['Legends Never Die', '英雄联盟S13', '游戏', '电子竞技', '英雄联盟', '电子竞技', '游戏', 'T1', 'Faker', 'Zeus', 'Theshy', 'WBG', 'S13总决赛']",335
最 强 的 矛,BV16N4y1m7bB,https://b23.tv/BV16N4y1m7bB,某幻君,3027754,2865,898,181400,22037,19822,892,"['白荆回廊终极测试', '游戏', '手机游戏', '古剑奇谭', '白荆回廊', '某幻']",1488
【英雄联盟】2024赛季玩法介绍,BV1sj411J7iS,https://b23.tv/BV1sj411J7iS,英雄联盟,1475437,5979,6097,61123,6548,6771,50751,"['英雄联盟S14', '游戏', '网络游戏', '英雄联盟', 'LOL', '英雄联盟2024赛季']",417
四喜丸子,BV14H4y1q7xq,https://b23.tv/BV14H4y1q7xq,八零徐姥姥,1201273,2252,878,125996,8763,4685,2443,"['爱的故事(上)', '生活', '三农', '美食', '生活记录', '记录']",332
生活中，我时常觉得自己有一些超能力,BV17u4y157Jv,https://b23.tv/BV17u4y157Jv,papi酱,2247335,1761,2156,207807,10155,5875,4730,"['生活', '搞笑', '娱乐', '生活记录', '段子']",113
薛定谔的胖铁盒,BV1yC4y1m7Ur,https://b23.tv/BV1yC4y1m7Ur,幾加乘,1071421,3242,1366,145797,44523,20026,14801,"['动物趣事榜', '动画', '短片·手书', '手书', '鬼畜', '搞笑', '脑洞', '原创动画', '猫']",316
【罗翔】张三弄虚作假却风生水起，做真好人真难！经验世界无法给人自洽，我们该怎么办？,BV1k94y1V7vV,https://b23.tv/BV1k94y1V7vV,罗翔说刑法,1504278,3200,3627,154348,31005,18626,6037,"['知识', '社科·法律·心理', '罗翔', '世界', '社会', '王阳明', '经验', '普法', '张三']",356
完美解决祖父悖论！究极烧脑的悬疑科幻《前目的地》,BV1mC4y1m7Cz,https://b23.tv/BV1mC4y1m7Cz,培根悖论唠唠嗑,1927654,7144,3412,75662,14336,40405,5778,"['让人惊艳的悬疑佳作', '影视', '影视杂谈', '科幻', '电影解说', '烧脑', '悬疑', '经典电影', '最强安利王3.0', '祖父悖论', '时空穿越']",2094
《掠影纷争》首曝PV | 向世界挥拳,BV1rv411F7QD,https://b23.tv/BV1rv411F7QD,掠影纷争,1655034,256,1003,16024,2773,4638,3651,"['游戏', '手机游戏', 'RPG', '手机游戏', 'PV', '游戏', '手游', '掠影纷争', '掠影纷争首曝', '首曝', '角色扮演', '变身英雄']",65
【BA】钢铁侠大战美国队长！谁才是对的？！万字解析《美国队长3：内战》！,BV1hN4y1m7JS,https://b23.tv/BV1hN4y1m7JS,BuriedAlien,1096304,17148,4354,66480,44431,22945,2228,"['人人都能聊影视', '影视', '影视杂谈', '黑寡妇', '美国队长', '钢铁侠', '复仇者联盟', '漫威', '托尼斯塔克', '最强安利王3.0', 'MCU', '美国队长3：内战', '美队3']",5236
